"","location","cnt","lat","long","lat_min","lat_max","lon_min","lon_max"
"1298","Winter Garden, FL",8,28.5656649,-81.5856742,28.4966394,28.595551,-81.657407,-81.557508
"1299","Winter Park, CO",14,39.882398,-105.7806082,39.832233,39.930462,-105.812018,-105.747832
"1300","Wisconsin Dells, WI",11,43.6256168,-89.7715646,43.603516,43.671259,-89.818643,-89.7388705
"1301","Wisconsin, United States",6,44.4308975,-89.6884637,42.4919515,47.3025,-92.8893149,-86.249548
"1302","Wixom, MI",58,42.5246873,-83.5363637,42.4931739,42.558556,-83.558674,-83.507443
"1303","Woburn, MA",30,42.4792618,-71.1522766,42.4498297,42.5300008,-71.2069672,-71.1120526
"1304","Woodinville, WA",9,47.7545827,-122.1588902,47.723923,47.7762471,-122.175799,-122.1108715
"1305","Woodland, CA",6,38.6786109,-121.7733285,38.6403977,38.70934,-121.8027558,-121.676677
"1306","Woodridge, IL",11,41.7563344,-88.045559,41.6783207,41.7795322,-88.086737,-88.00125
"1307","Woodside, CA",1,37.4299388,-122.253855,37.3718658,37.4609688,-122.3033891,-122.2232814
"1308","Woodstock, GA",2,34.1014112,-84.5192192,34.074112,34.142387,-84.566795,-84.449652
"1309","Worcester, MA",36,42.2625621,-71.8018877,42.2100397,42.341187,-71.8840431,-71.7312371
"1310","Wyandotte, MI",6,39.1090458,-94.767624,38.991401,39.202911,-94.908765,-94.5882049
"1311","Wyomissing, PA",7,40.329537,-75.9652117,40.3056932,40.3564483,-75.994971,-75.9476919
"1312","Yakima, WA",2,46.601557,-120.510842,46.557292,46.630777,-120.6444942,-120.460335
"1313","Yardley, PA",2,40.245664,-74.8459972,40.2316209,40.2507207,-74.8516376,-74.8240907
"1314","York, PA",25,39.9624662,-76.727729,39.942756,39.992584,-76.762814,-76.6994567
"1315","Yorktown Heights, NY",1,41.2709274,-73.7776336,41.261099,41.27886,-73.784281,-73.765986
"1316","Youngstown, OH",1,41.1035786,-80.6520161,41.0499533,41.139013,-80.7111792,-80.567932
"1317","Ypsilanti, MI",1,42.2410562,-83.613055,42.2241835,42.260874,-83.6520806,-83.5964279
"1318","Yuba City, CA",6,39.1404477,-121.6169108,39.087183,39.175451,-121.688874,-121.597591
"1319","Zachary, LA",2,30.6485191,-91.1564961,30.6114893,30.7090031,-91.2327688,-91.0896786
